school	galo	advice	feduc	meduc
1	78	1	1	1
1	104	4	4	3
1	93	2	1	1
1	114	4	2	1
1	95	2	2	2
1	98	2	1	1
1	114	4	1	3
1	79	2	1	1
1	84	2	1	1
1	101	2	1	1
1	99	2	3	4
1	102	2	5	5
1	86	2	1	1
2	110	2	4	3
2	111	4	5	3
2	100	2	4	5
2	79	0	4	2
2	111	4	2	1
2	92	2	7	5
2	97	2	5	1
2	120	5	7	2
2	134	6	2	6
2	114	4	4	6
2	109	4	7	6
2	109	4	7	2
3	119	5	5	5
3	106	4	2	5
3	125	2	1	1
3	111	4	2	1
3	90	2	8	2
3	103	4	3	1
3	123	6	5	5
3	114	5	1	1
3	102	4	6	1
3	108	4	2	1
3	111	4	6	5
3	113	5	7	5
3	91	2	2	1
3	108	2	7	1
3	92	2	6	7
3	96	2	1	1
3	106	4	5	5
3	117	5	7	1
3	113	5	2	5
3	123	5	6	3
3	109	4	7	1
3	91	2	3	1
3	119	5	3	1
3	108	2	1	1
3	116	5	5	1
3	109	4	5	2
3	113	5	7	5
3	118	5	7	5
3	110	4	3	2
3	111	5	2	1
3	114	5	2	1
3	127	6	8	1
3	122	6	2	1
4	88	2	1	1
4	104	2	1	1
4	99	2	1	1
4	93	2	1	2
4	92	2	1	1
4	96	2	1	1
4	106	2	1	1
4	119	5	1	1
4	108	4	1	1
4	106	2	2	1
4	114	5	2	2
4	108	2	1	1
4	110	6	1	2
4	105	2	3	1
4	95	2	2	1
4	104	2	1	3
4	103	1	1	1
4	129	5	2	2
4	114	4	1	1
4	87	1	1	1
4	101	2	1	1
4	100	2	1	1
4	94	2	1	1
4	95	2	1	1
4	87	2	1	1
4	95	2	1	1
5	117	4	3	3
5	83	2	6	4
5	87	2	6	4
5	129	6	2	2
5	77	2	1	1
5	78	1	1	1
5	103	4	2	3
5	100	2	2	2
5	104	4	3	1
5	91	1	1	1
5	122	6	4	1
5	88	2	4	1
5	86	1	1	1
5	81	2	1	1
5	89	2	1	1
5	96	2	5	1
5	82	2	2	1
5	109	4	1	1
5	81	2	1	1
5	101	2	1	1
5	96	2	7	5
5	105	4	1	1
5	119	5	8	7
6	77	2	2	1
6	112	4	4	5
6	90	2	1	1
6	96	2	5	3
6	95	2	2	5
6	103	2	7	5
6	91	2	2	2
6	108	4	6	7
6	110	6	5	5
6	77	2	1	1
6	105	4	7	3
6	115	6	4	1
6	96	2	4	2
6	78	2	1	1
6	125	6	4	6
6	103	2	3	3
6	113	4	5	5
6	99	2	1	1
6	75	2	1	2
6	105	4	3	3
6	105	4	5	6
6	103	2	6	1
6	105	2	6	2
6	100	2	5	3
6	110	4	4	5
6	113	4	5	3
7	85	2	1	1
7	84	2	1	1
7	79	2	1	1
7	104	2	1	1
7	77	2	1	1
7	82	2	1	1
7	79	2	1	1
7	102	2	1	1
7	98	2	1	1
7	108	4	1	1
7	104	2	1	1
7	102	2	1	1
7	86	2	1	1
7	76	2	1	1
7	83	2	1	1
7	114	4	1	1
7	98	2	3	1
8	108	4	6	5
8	77	2	6	2
8	97	2	2	1
8	109	4	4	1
8	99	2	6	5
8	93	2	2	1
8	94	2	5	5
8	111	4	4	5
8	108	4	3	1
8	113	4	1	1
8	87	2	1	1
8	83	2	1	3
8	112	4	2	1
8	103	5	5	5
8	118	5	6	1
8	106	4	6	5
8	94	2	2	1
8	87	4	3	2
8	89	2	5	1
8	101	2	7	3
8	117	5	9	7
8	95	2	1	1
8	101	2	2	2
8	86	2	1	1
8	114	4	4	7
8	96	2	4	5
8	95	2	2	1
8	76	2	5	1
8	97	2	1	1
8	87	2	6	1
9	100	2	3	3
9	97	2	1	1
9	110	4	2	3
9	122	5	1	1
9	110	4	1	1
9	112	4	1	1
9	113	4	1	2
9	94	2	1	1
9	102	4	3	2
9	103	2	1	1
9	86	2	4	3
9	112	4	1	1
9	106	2	5	3
9	101	2	1	1
9	104	2	3	1
9	95	2	4	2
9	96	2	1	1
9	94	2	2	1
9	92	2	2	6
9	83	2	2	3
9	121	5	1	1
10	104	4	7	1
10	86	2	7	5
10	107	2	2	5
10	104	4	4	5
10	95	2	5	1
10	101	2	4	1
10	112	4	3	1
10	94	2	1	1
10	96	2	8	5
10	97	2	2	2
10	111	4	2	1
10	110	4	2	3
10	93	2	1	1
10	77	2	2	1
10	101	2	1	5
10	100	2	3	3
10	100	2	1	1
10	100	2	5	3
10	109	4	8	1
10	79	2	1	1
10	109	4	2	1
10	106	4	7	5
10	114	4	2	3
10	125	6	6	5
11	78	2	1	1
11	109	4	1	1
11	91	2	1	1
11	69	2	1	1
11	68	2	1	1
11	81	2	2	1
11	92	2	1	1
11	99	2	2	1
11	78	2	1	1
11	89	2	1	1
11	87	2	1	1
11	102	4	1	1
12	103	2	2	5
12	85	2	1	1
12	106	4	7	7
12	98	2	2	1
12	108	4	8	5
12	105	4	5	1
12	97	2	2	1
12	111	4	3	1
12	68	1	1	1
12	90	2	1	1
12	104	2	3	2
12	87	2	2	1
12	113	4	1	1
12	104	4	1	1
12	101	2	3	3
12	102	2	6	1
12	94	2	1	3
12	96	2	1	1
12	101	4	7	6
12	88	2	1	1
12	105	4	2	1
12	79	2	6	6
12	111	5	4	1
12	87	2	1	1
13	91	1	1	1
13	88	1	1	1
13	118	4	3	1
13	83	1	1	3
13	93	2	1	1
13	83	1	1	1
13	96	2	1	1
13	92	1	1	1
13	98	2	1	3
13	88	1	1	1
13	90	2	1	1
13	84	1	1	1
13	104	2	1	1
13	106	2	1	1
14	105	4	1	1
14	100	2	2	1
14	95	2	1	1
14	92	1	7	3
14	97	2	7	3
14	94	2	5	5
14	98	2	2	1
14	102	2	3	2
14	105	2	3	1
14	103	4	3	1
14	84	2	1	1
14	102	2	2	1
14	114	5	4	1
14	109	4	6	2
14	82	2	1	1
14	117	5	4	3
14	101	2	1	1
14	72	2	1	1
14	86	1	1	1
14	98	2	7	5
14	99	2	3	3
14	86	1	7	4
14	93	2	4	5
15	96	2	1	1
15	108	4	7	7
15	102	2	3	3
15	107	4	6	5
15	105	4	3	5
15	114	4	4	1
15	121	5	7	5
15	108	4	6	6
15	87	2	5	7
15	93	2	5	7
15	101	2	1	1
15	108	4	1	1
15	89	2	5	3
15	106	4	1	1
15	110	4	6	1
15	96	2	5	3
15	136	6	8	5
15	107	2	2	1
15	95	2	3	1
15	120	5	4	3
15	133	6	8	5
15	110	4	7	3
15	116	5	6	5
15	78	1	1	1
15	105	2	7	5
15	109	4	6	1
16	79	2	4	1
16	100	2	5	1
16	87	2	2	1
16	120	5	3	1
16	115	5	2	3
16	116	5	9	7
16	109	5	8	7
16	100	5	5	3
16	112	4	2	5
16	104	2	4	2
16	100	2	4	2
16	112	4	8	1
16	118	4	7	3
16	97	2	5	1
16	110	4	6	5
16	112	4	7	8
16	107	4	7	4
16	112	4	5	5
16	114	4	1	1
16	113	4	1	1
16	102	4	2	1
17	92	2	4	3
17	111	4	8	4
17	99	2	1	3
17	109	4	6	5
17	101	2	7	7
17	126	6	5	3
17	108	4	3	1
17	114	4	4	3
17	100	2	6	1
17	109	2	1	5
17	106	2	1	1
17	93	2	5	5
17	106	2	6	3
17	112	4	9	4
17	120	5	1	1
17	103	2	9	7
17	131	6	9	9
17	109	4	5	7
17	126	6	4	1
17	94	2	1	1
17	110	2	1	1
17	95	2	6	1
17	109	4	1	1
17	108	4	5	1
17	120	5	4	5
17	113	4	5	3
17	116	5	1	1
17	95	2	3	3
17	109	4	1	5
17	116	4	3	3
17	88	2	5	1
17	100	4	9	7
18	96	2	4	1
18	98	2	1	5
18	76	1	1	1
18	108	4	1	3
18	107	4	6	5
18	119	5	1	2
18	96	2	4	1
18	96	2	1	1
18	106	4	7	5
18	118	5	3	1
18	95	2	6	6
18	100	2	8	6
18	95	2	4	1
18	80	1	1	1
18	113	5	7	1
18	102	4	5	5
18	110	4	7	4
18	95	2	8	1
18	104	2	1	1
18	107	2	5	3
18	106	4	5	3
19	96	2	3	1
19	100	2	5	5
19	87	2	5	1
19	108	4	1	3
19	102	2	3	1
19	93	2	1	1
19	103	2	1	1
19	94	2	4	1
19	100	2	1	1
19	119	5	1	3
19	98	2	2	5
19	118	5	1	1
19	90	2	1	1
19	87	2	1	1
20	101	2	2	2
20	115	5	1	2
20	108	4	5	3
20	103	4	4	3
20	108	4	5	5
20	105	2	3	3
20	92	2	3	1
20	112	5	3	5
20	98	2	2	3
20	98	4	3	1
20	104	4	1	1
20	103	4	1	1
20	87	1	1	1
20	101	2	4	1
20	103	4	2	5
20	102	2	2	5
20	77	1	1	1
20	90	2	1	1
20	88	2	1	1
20	108	4	1	1
20	106	2	2	2
21	71	2	1	1
21	103	2	7	2
21	101	2	5	1
21	110	4	1	3
21	96	2	4	1
21	104	4	5	5
21	107	2	5	2
21	108	2	4	2
21	106	2	1	1
21	91	2	3	2
21	85	2	1	2
21	81	4	5	5
21	111	4	2	1
21	112	4	5	5
21	113	4	7	7
21	101	2	1	1
21	92	2	1	1
21	95	2	3	1
21	86	2	1	1
21	83	2	3	6
21	97	2	5	1
21	108	4	4	1
21	100	2	4	1
21	110	4	4	1
22	110	2	3	1
22	93	2	3	5
22	70	2	3	5
22	106	4	1	1
22	99	2	4	1
22	101	2	1	5
22	96	2	7	3
22	102	4	5	5
22	94	2	3	1
22	87	2	4	1
22	110	4	1	1
22	78	2	3	6
22	129	6	7	1
22	114	4	3	1
22	107	4	5	4
22	103	2	4	2
22	123	5	7	1
22	101	2	9	4
23	85	2	3	1
23	101	2	6	6
23	123	5	1	1
23	110	4	6	1
23	104	2	1	1
23	118	4	1	1
23	94	2	4	5
23	114	4	4	6
23	112	4	8	6
23	95	2	5	3
23	97	2	8	7
23	93	2	5	3
23	139	6	7	7
23	99	2	4	3
23	113	4	1	1
23	116	5	7	4
23	99	2	7	3
23	103	2	7	7
23	105	4	3	3
23	86	2	4	1
23	110	4	5	6
23	108	2	4	4
23	108	4	6	5
23	85	2	3	3
23	118	5	7	5
23	115	5	7	7
23	128	6	8	8
23	93	2	3	1
23	107	4	6	6
23	98	2	4	5
23	103	2	7	5
23	90	2	6	1
24	99	2	1	4
24	93	2	5	1
24	86	2	1	1
24	106	4	6	5
24	80	1	1	1
24	104	2	2	1
24	109	4	1	1
24	119	5	4	1
24	111	2	1	1
24	96	2	3	1
24	109	4	1	1
24	97	2	6	1
24	113	4	1	1
24	115	5	7	4
24	96	2	5	5
24	96	2	6	3
24	105	4	5	5
24	91	2	1	1
24	108	4	1	1
24	94	2	1	1
25	105	2	4	5
25	96	2	3	1
25	92	2	5	1
25	84	2	1	1
25	105	4	2	1
25	88	2	1	1
25	89	2	5	3
25	120	5	4	4
25	85	2	1	1
25	101	2	1	1
25	109	4	6	3
25	83	2	1	1
25	109	2	1	1
25	81	2	3	1
25	96	2	1	1
25	108	4	7	3
25	94	2	1	1
25	103	2	1	1
25	102	4	1	1
26	101	2	1	3
26	98	2	1	1
26	98	2	3	1
26	112	4	4	1
26	110	4	3	2
26	109	4	3	1
26	106	4	5	5
26	96	2	1	3
26	96	2	1	1
26	113	4	1	1
26	107	4	6	5
26	93	2	3	5
26	102	2	2	1
26	89	1	1	1
26	109	4	8	5
26	103	2	3	3
26	113	4	3	5
26	110	4	3	1
26	95	2	3	1
26	100	2	1	1
26	104	2	3	1
27	121	5	7	5
27	89	2	1	1
27	88	2	8	5
27	130	6	7	6
27	108	5	7	7
27	89	1	6	6
27	115	5	8	5
27	88	2	7	5
27	111	4	7	1
27	81	2	5	2
27	112	4	5	5
27	114	5	6	3
27	112	2	7	1
27	89	2	3	1
27	102	2	6	3
27	104	2	1	1
27	103	4	3	5
27	86	2	1	1
27	121	5	1	1
27	97	4	5	2
27	112	5	6	3
27	100	4	3	3
27	110	4	1	1
27	107	4	1	1
27	97	2	2	1
27	102	4	8	3
27	111	5	5	3
27	103	4	7	5
27	98	2	5	6
27	121	5	8	7
27	113	5	7	5
28	98	2	6	1
28	100	2	6	6
28	114	4	7	5
28	81	2	1	1
28	109	4	7	6
28	80	2	1	3
28	111	4	1	1
28	123	5	3	5
28	104	4	8	7
28	99	2	5	1
28	87	1	1	1
28	103	4	7	6
28	110	4	6	3
28	84	2	3	3
28	95	2	4	3
28	109	4	4	3
28	110	4	6	3
28	78	1	1	3
28	96	2	7	5
28	99	2	1	1
28	84	2	3	3
28	106	4	1	1
28	113	4	9	3
28	105	4	1	1
28	81	2	1	1
28	88	2	1	1
28	98	2	1	3
28	112	4	2	2
28	80	2	1	1
28	102	2	6	6
29	109	4	3	1
29	127	6	7	7
29	109	4	8	3
29	98	2	3	1
29	130	6	6	5
29	119	5	4	5
29	103	4	8	5
29	104	4	5	5
29	91	2	6	5
29	127	6	7	6
29	113	5	5	5
29	118	5	3	1
29	118	5	7	7
29	93	2	5	3
29	111	5	5	5
29	101	4	6	3
29	117	5	5	1
29	114	5	5	7
29	102	4	1	5
29	97	2	7	6
29	109	4	5	5
29	114	5	4	3
29	111	2	5	1
29	120	5	2	5
29	88	2	6	3
29	113	4	5	3
29	94	2	1	1
29	102	2	4	1
29	89	2	1	1
29	111	5	6	5
29	109	5	6	6
29	96	2	4	4
30	120	5	8	7
30	105	2	6	1
30	138	6	7	7
30	121	6	7	5
30	96	4	9	7
30	101	4	7	7
30	113	5	8	2
30	106	4	7	5
30	127	6	7	6
30	107	4	3	1
30	112	4	8	4
30	113	5	7	7
30	116	5	4	3
30	122	2	6	3
30	118	5	6	7
30	116	5	5	5
30	129	6	9	9
30	122	5	7	3
30	120	5	9	9
30	131	6	9	7
30	106	4	8	6
30	130	6	7	6
30	126	6	6	6
30	114	2	9	9
30	129	6	2	2
30	120	5	8	7
30	101	2	5	5
30	118	5	7	5
30	100	2	5	1
30	125	6	7	3
30	102	4	2	1
30	135	6	7	5
30	135	6	9	9
30	138	6	7	7
30	102	2	3	2
30	112	4	5	1
30	125	6	9	9
30	122	5	8	5
30	106	4	6	3
30	106	4	7	6
31	113	5	2	2
31	112	4	5	1
31	96	2	3	5
31	95	2	6	4
31	92	2	4	1
31	101	2	1	1
31	112	4	5	1
31	90	2	6	3
31	117	5	4	5
31	84	2	5	1
31	119	5	6	7
31	99	2	6	1
31	106	2	5	1
31	111	4	2	1
31	97	2	3	3
31	96	2	1	3
31	96	2	1	1
31	104	4	6	1
31	108	2	7	1
31	116	5	5	5
31	92	2	1	1
31	99	2	1	1
32	129	6	9	7
32	126	6	9	9
32	110	4	7	7
32	117	5	7	6
32	125	4	8	7
32	123	5	7	7
32	130	6	5	5
32	109	4	9	7
32	103	2	6	5
32	113	4	9	7
32	120	5	7	5
32	95	2	9	7
32	133	6	8	5
32	123	5	7	2
32	103	4	5	5
32	129	6	7	4
32	114	4	8	6
32	104	4	8	3
32	114	4	2	2
32	122	5	5	5
32	98	2	9	7
32	121	6	8	5
32	100	2	5	3
32	94	2	5	5
32	114	4	6	2
32	117	5	8	5
32	96	2	4	6
32	112	4	9	9
32	113	4	8	7
32	125	6	8	7
32	100	0	9	7
32	106	4	9	9
32	108	4	9	7
32	126	6	7	6
33	119	5	7	5
33	104	4	9	7
33	101	2	7	5
33	93	2	8	3
33	121	5	8	5
33	127	6	9	8
33	102	4	9	9
33	117	5	7	5
33	91	2	5	3
33	128	6	9	9
33	114	5	6	6
33	104	4	9	6
33	105	4	7	7
33	107	4	3	3
33	101	4	4	4
33	101	2	8	7
33	106	4	7	6
33	108	6	9	9
33	103	4	9	8
33	106	4	9	8
33	101	2	9	3
33	101	2	6	7
33	107	4	8	7
33	110	5	8	5
33	104	2	9	7
33	109	5	9	7
33	81	1	5	3
33	105	4	5	5
33	108	4	9	8
33	98	2	6	1
33	120	5	9	6
33	103	4	7	6
33	108	5	9	7
33	110	4	8	5
34	108	4	7	7
34	114	4	1	1
34	122	5	6	6
34	101	2	4	3
34	110	5	1	2
34	96	2	5	1
34	112	4	5	1
34	84	2	1	1
34	83	2	1	1
34	94	2	3	3
34	112	4	4	3
34	112	2	5	1
34	129	6	9	9
34	111	4	7	2
34	102	2	7	5
34	95	2	6	5
34	114	5	7	7
34	130	6	3	6
34	100	2	6	3
34	100	2	6	6
34	120	5	7	1
34	96	2	3	1
34	107	4	5	1
34	93	2	3	5
34	110	4	6	1
34	104	2	2	1
35	113	4	5	1
35	91	2	1	1
35	91	2	3	1
35	129	6	4	1
35	119	5	7	5
35	104	4	6	1
35	98	2	7	1
35	105	4	5	1
35	117	5	6	5
35	110	4	7	1
35	93	2	3	4
35	97	2	3	3
35	101	4	3	5
35	89	2	7	1
35	119	5	6	7
35	80	2	2	1
35	82	2	1	1
35	80	2	4	2
35	123	5	8	7
35	105	4	4	3
35	133	6	6	3
35	98	4	5	5
35	116	5	4	1
35	89	2	2	2
35	76	2	3	1
35	96	2	3	1
35	92	2	4	4
35	123	5	1	1
35	89	2	1	1
35	104	4	1	1
35	114	5	3	5
36	120	5	9	5
36	101	2	1	1
36	98	2	5	3
36	103	2	1	1
36	104	4	5	3
36	95	2	1	1
36	111	4	6	6
36	96	2	1	1
36	87	1	7	6
37	96	2	1	1
37	104	2	4	1
37	112	4	5	3
37	112	2	2	3
37	88	2	1	3
37	125	6	8	5
37	104	2	3	5
37	102	2	1	3
37	78	2	4	3
37	123	5	6	5
37	102	2	1	1
37	79	2	3	3
37	107	2	4	1
37	114	4	1	1
37	112	2	7	7
37	108	4	6	5
37	103	2	1	1
37	91	2	5	7
37	125	6	6	4
37	87	2	4	1
37	113	4	6	5
37	101	2	1	1
37	108	4	1	1
37	111	4	6	6
37	101	2	5	3
37	96	2	7	2
37	128	6	8	1
37	101	2	1	1
37	106	4	4	1
37	122	5	2	1
37	103	2	1	1
37	86	2	3	1
37	96	2	5	5
37	98	2	1	1
37	106	2	6	5
37	106	2	7	5
37	83	2	3	1
37	106	4	3	2
37	128	6	6	1
37	100	2	2	1
37	101	2	6	3
37	110	4	7	5
38	96	2	5	7
38	91	2	6	7
38	88	2	3	5
38	129	6	4	6
38	98	4	7	5
38	108	2	4	6
38	98	2	6	5
38	98	2	1	1
38	109	4	2	1
38	104	2	1	1
38	122	6	8	3
38	101	2	3	1
38	108	4	7	7
38	106	4	1	2
38	93	2	5	4
38	93	2	4	1
38	113	5	7	3
38	109	5	6	1
38	78	1	2	1
38	97	2	3	1
38	110	5	6	3
38	96	2	5	3
38	100	2	5	3
38	106	4	8	8
38	91	2	5	5
38	96	2	4	5
38	84	2	6	3
38	102	4	7	6
38	112	5	8	7
39	90	2	3	3
39	102	2	7	1
39	112	5	7	1
39	105	4	4	2
39	125	6	5	5
39	106	5	1	1
39	102	2	2	2
39	110	4	5	5
39	115	5	6	5
39	125	6	8	1
39	93	2	1	1
40	116	4	6	4
40	98	2	1	1
40	93	2	2	1
40	108	4	8	5
40	110	4	4	1
40	98	2	1	1
40	108	4	6	5
40	100	2	1	1
40	106	4	5	5
40	110	4	1	1
40	89	2	3	3
40	116	5	3	3
40	96	2	6	5
40	105	2	6	3
40	90	2	1	3
40	105	4	3	1
40	103	2	1	1
40	95	2	2	1
40	119	5	1	1
40	116	5	5	1
40	110	4	1	1
40	124	6	3	1
40	111	2	3	1
40	118	5	2	6
40	109	4	5	5
40	126	6	6	3
40	102	2	2	1
40	107	4	6	6
40	102	2	8	3
40	84	2	1	1
40	104	4	4	6
40	120	5	6	5
40	111	2	5	5
41	91	2	8	3
41	120	5	7	7
41	105	2	1	1
41	91	2	3	3
41	120	5	7	5
41	103	2	6	1
41	97	2	6	1
41	105	4	3	1
41	111	4	5	5
41	106	4	1	3
41	87	2	3	1
41	115	4	3	2
41	95	2	6	1
41	112	4	3	5
41	101	2	5	5
41	100	2	2	1
41	84	2	1	1
41	76	2	1	1
41	113	4	1	1
41	106	4	7	1
41	97	2	1	5
41	94	2	6	1
41	94	2	3	3
41	97	2	3	3
41	102	2	3	5
41	104	2	1	1
41	103	2	7	1
42	118	5	8	8
42	109	4	8	4
42	104	2	3	3
42	100	1	1	1
42	108	5	7	5
42	92	2	3	5
42	113	5	4	5
42	108	4	2	4
42	101	4	3	4
42	106	4	3	5
42	77	1	1	1
42	96	2	3	1
42	60	1	1	1
42	75	2	3	3
42	70	1	1	1
42	116	5	5	5
42	69	1	5	1
42	95	2	3	1
42	104	4	5	3
42	109	5	3	5
42	114	5	2	5
42	109	5	8	6
42	87	1	2	1
42	93	2	5	5
42	95	2	1	1
42	104	4	9	6
43	97	2	5	3
