"teacher" "v1" "v2" "v3" "v4" "v5" "v6"
"1" 41 1 1 1 1 1 1
"2" 41 1 4 1 1 1 5
"3" 41 1 1 1 1 1 1
"4" 41 1 1 1 1 1 4
"5" 41 1 1 2 1 1 1
"6" 41 1 1 1 1 1 1
"7" 41 1 1 1 1 2 2
"8" 41 2 1 2 1 2 2
"9" 41 1 1 3 2 1 3
"10" 41 1 1 1 1 1 5
"11" 41 2 1 2 4 1 3
"12" 41 1 2 1 1 1 5
"13" 41 2 2 1 3 2 1
"14" 41 2 1 2 1 1 5
"15" 41 2 3 3 3 2 3
"16" 41 2 3 3 3 3 5
"17" 41 1 1 1 1 1 2
"18" 41 1 1 2 1 1 1
"19" 41 3 2 3 2 2 5
"20" 41 1 1 1 1 1 3
"21" 41 1 1 2 3 1 2
"22" 38 1 1 1 1 4 1
"23" 38 1 1 1 3 1 2
"24" 38 3 3 2 4 1 5
"25" 38 1 1 2 1 1 1
"26" 38 1 1 1 1 1 3
"27" 38 3 2 3 3 2 4
"28" 38 1 1 2 5 1 2
"29" 38 4 5 1 4 4 2
"30" 38 1 1 3 3 1 3
"31" 38 1 1 1 1 1 2
"32" 38 1 1 1 3 2 2
"33" 38 1 1 2 1 1 2
"34" 38 2 1 1 1 1 2
"35" 38 1 1 2 1 2 1
"36" 35 2 2 2 3 2 4
"37" 35 1 1 1 2 1 2
"38" 35 2 2 2 2 2 3
"39" 35 1 1 2 5 1 2
"40" 35 1 3 2 3 1 5
"41" 35 2 3 1 3 5 5
"42" 35 1 1 1 1 1 3
"43" 35 1 2 2 2 2 2
"44" 35 3 3 2 2 2 4
"45" 35 1 1 1 1 1 5
"46" 35 1 1 1 1 1 3
"47" 35 1 1 1 1 1 1
"48" 35 1 1 2 2 2 3
"49" 35 1 1 2 1 1 2
"50" 35 1 1 1 1 1 5
"51" 35 2 1 2 1 1 3
"52" 35 2 3 2 5 3 5
"53" 35 1 1 1 1 1 1
"54" 35 2 2 1 2 2 4
"55" 35 1 1 1 1 1 2
"56" 35 3 1 3 2 3 3
"57" 35 2 2 1 1 1 3
"58" 35 2 2 2 2 2 2
"59" 35 3 1 1 3 1 3
"60" 35 1 1 1 3 1 1
"61" 35 2 2 1 3 4 3
"62" 35 1 1 1 1 1 3
"63" 39 1 1 1 1 1 1
"64" 39 1 1 1 1 1 1
"65" 39 1 2 5 2 2 2
"66" 39 3 2 2 2 1 3
"67" 39 1 1 1 3 1 1
"68" 39 1 1 1 1 1 1
"69" 39 1 1 1 1 1 1
"70" 39 2 1 1 3 1 3
"71" 39 3 1 3 3 2 5
"72" 39 1 1 1 3 1 3
"73" 39 1 1 1 1 1 1
"74" 39 1 1 1 1 1 2
"75" 39 1 1 2 2 1 1
"76" 39 1 1 1 1 1 1
"77" 39 1 1 1 1 1 1
"78" 39 1 1 4 1 1 1
"79" 39 1 1 1 3 1 1
"80" 39 1 1 3 1 2 3
"81" 39 2 1 1 3 1 1
"82" 39 1 1 2 2 1 2
"84" 39 3 3 4 3 3 5
"85" 39 1 1 1 1 1 2
"86" 39 1 1 1 1 1 1
"87" 39 2 1 3 3 1 5
